IdSolicitante;TipoDemandante;Sexo;Escolaridade;Profissao;UF
1090608;Pessoa Fisica;Masculino;Ensino Superior ;Professor;PA
1090609;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;RS
1090610;Pessoa Fisica;Feminino;Ensino Medio;Servidor publico estadual;BA
1090612;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;DF
1090616;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;RJ
1090617;Pessoa Fisica;Masculino;Ensino Medio;Empregado - setor privado;MG
1090623;Pessoa Fisica;Masculino;Pos-graduacao;Outra;MG
1090626;Pessoa Fisica;Feminino;Mestrado/Doutorado;Servidor publico federal;AM
1090639;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;MG
1090648;Pessoa Fisica;Masculino;Ensino Superior ;Outra;SC
1090661;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico federal;MG
1090667;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico municipal;RN
1090673;Pessoa Fisica;Feminino;Pos-graduacao;Outra;SP
1090701;Pessoa Fisica;Feminino;Ensino Superior ;Profis. Liberal/Autonomo;SP
1090705;Pessoa Fisica;Feminino;Ensino Superior ;Empresario/empreendedor;GO
1090715;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;SP
1090719;Pessoa Fisica;Masculino;Ensino Medio;Empresario/empreendedor;RJ
1090720;Pessoa Fisica;Masculino;Ensino Superior ;Outra;RJ
1090721;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico federal;MG
1090732;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;SP
1090733;Pessoa Fisica;Feminino;Pos-graduacao;Empregado - setor privado;GO
1090738;Pessoa Fisica;Feminino;Ensino Medio;Outra;MG
1090750;Pessoa Fisica;Masculino;Ensino Medio;Servidor publico federal;PR
1090756;Pessoa Fisica;Masculino;Ensino Medio;Outra;DF
1090757;Pessoa Fisica;Feminino;Ensino Medio;Outra;RJ
1090763;Pessoa Fisica;Masculino;Ensino Superior ;Outra;RS
1090764;Pessoa Fisica;Masculino;Ensino Medio;Estudante;BA
1090778;Pessoa Fisica;Masculino;Ensino Medio;Estudante;CE
1090789;Pessoa Fisica;Feminino;Ensino Superior ;Professor;SP
1090791;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico federal;MG
1090794;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;GO
1090795;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;SP
1090798;Pessoa Fisica;Masculino;Pos-graduacao;Empresario/empreendedor;RJ
1090801;Pessoa Fisica;Feminino;Ensino Medio;Empregado - setor privado;MG
1090802;Pessoa Fisica;Masculino;Ensino Medio;Outra;AM
1090803;Pessoa Fisica;Feminino;Ensino Medio;Outra;SP
1090804;Pessoa Fisica;Feminino;Ensino Superior ;Outra;PB
1090807;Pessoa Fisica;Masculino;Ensino Medio;Outra;AL
1090808;Pessoa Fisica;Feminino;Ensino Medio;Servidor publico federal;PA
1090809;Pessoa Fisica;Feminino;Ensino Medio;Estudante;SP
1090812;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico municipal;CE
1090821;Pessoa Fisica;Masculino;Ensino Superior ;Jornalista;MG
1090830;Pessoa Fisica;Feminino;Ensino Superior ;Outra;SP
1090831;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;RS
1090835;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico estadual;PR
1090837;Pessoa Fisica;Masculino;Pos-graduacao;Profis. Liberal/Autonomo;SP
1090845;Pessoa Fisica;Feminino;Mestrado/Doutorado;Empregado - setor privado;SP
1090850;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;DF
1090852;Pessoa Fisica;Masculino;Ensino Medio;Pesquisador;SC
1090860;Pessoa Fisica;Masculino;Ensino Superior ;Outra;PR
1090861;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico municipal;SC
1090863;Pessoa Fisica;Feminino;Ensino Superior ;Empregado - setor privado;PA
1090866;Pessoa Fisica;Feminino;Ensino Fundamental;Estudante;GO
1090868;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;MS
1090871;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico municipal;BA
1090872;Pessoa Fisica;Feminino;Ensino Superior ;Outra;MG
1090886;Pessoa Fisica;Feminino;Ensino Superior ;Pesquisador;RJ
1090887;Pessoa Fisica;Masculino;Ensino Superior ;Servidor publico municipal;SP
1090889;Pessoa Fisica;Feminino;Ensino Superior ;Outra;SP
1090896;Pessoa Fisica;Feminino;Mestrado/Doutorado;Pesquisador;BA
1090908;Pessoa Fisica;Masculino;Ensino Superior ;Estudante;DF
1090912;Pessoa Fisica;Feminino;Ensino Superior ;Outra;RJ
1090913;Pessoa Fisica;Feminino;Ensino Superior ;Outra;RS
1090914;Pessoa Fisica;Feminino;Pos-graduacao;Servidor publico municipal;SP
1090921;Pessoa Fisica;Masculino;Mestrado/Doutorado;Pesquisador;PA
1090923;Pessoa Fisica;Feminino;Mestrado/Doutorado;Servidor publico federal;MG
1090929;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico federal;MA
1090933;Pessoa Fisica;Feminino;Ensino Medio;Empregado - setor privado;SP
1090934;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico estadual;PA
1090935;Pessoa Fisica;Masculino;Pos-graduacao;Empregado - setor privado;PR
1090936;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;MG
1090939;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;DF
1090941;Pessoa Fisica;Feminino;Ensino Superior ;Outra;RJ
1090946;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;RS
1090952;Pessoa Fisica;Feminino;Ensino Superior ;Servidor publico estadual;RJ
1090953;Pessoa Fisica;Masculino;Ensino Superior ;Empresario/empreendedor;SP
1090954;Pessoa Juridica;Nao se aplica;Nao se aplica;Nao se aplica;PR
1090955;Pessoa Fisica;Masculino;Ensino Superior ;Profis. Liberal/Autonomo;SP
1090956;Pessoa Fisica;Masculino;Pos-graduacao;Servidor publico federal;PR
1090960;Pessoa Fisica;Feminino;Ensino Medio;Estudante;MG
1090962;Pessoa Fisica;Masculino;Ensino Superior ;Empregado - setor privado;PR
1090966;Pessoa Fisica;Feminino;Ensino Medio;Empregado - setor privado;RS
1090969;Pessoa Fisica;Feminino;Ensino Superior ;Estudante;RJ
1090971;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico federal;DF
1090975;Pessoa Fisica;Masculino;Mestrado/Doutorado;Servidor publico estadual;BA
